JC Organization ID,Medicare CCN
7903,440109
7809,440104
4621,440102
7813,440091
165957,440084
7841,440083
7891,440082
4132,440081
7820,440073
4049,440072
225577,440070
7803,440068
7882,440067
7910,440065
7907,440064
7844,440063
7864,440061
7880,440060
7821,440059
3796,440058
3699,440057
7842,440056
3942,440054
7883,440053
7904,440051
7835,440050
7874,440049
7869,440048
7912,440047
7826,440046
7892,440039
7817,440035
7895,440034
3915,440033
7902,440032
7836,440031
7881,440030
7830,440029
2164,440025
7899,440020
7828,440018
7845,440017
7920,440016
7853,440015
7805,440012
7865,440011
7917,440010
7824,440009
7859,440008
7887,440006
7832,440003
4717,440002
4245,440001
313414,430095
8463,430077
8471,430027
8470,430016
8462,430015
8459,430013
4540,430012
1841,424011
1797,424010
3121,424003
413942,420101
360250,420098
35513,420091
71400,420089
6585,420087
6590,420086
6616,420085
6625,420083
4855,420082
6607,420080
4840,420079
788,420078
6605,420071
6628,420070
6578,420067
6586,420065
6619,420062
163302,420055
6580,420054
6620,420053
6599,420051
3633,420048
6601,420043
6630,420039
4935,420038
6610,420036
6631,420030
6576,420027
6603,420023
6602,420020
3697,420019
6588,420018
6577,420016
6597,420015
6606,420010
3932,420009
6595,420005
6584,420004
6623,420002
3304,414003
5649,410012
4906,410011
5654,410008
5651,410007
5646,410006
5647,410005
5652,410004
5648,410001
1542,404004
401441,400128
82015,400124
4987,400120
5265,400114
5221,400112
34319,400110
5383,400109
5387,400106
5401,400105
5379,400103
255940,400087
4884,400079
5381,400061
4872,400048
5400,400044
5382,400032
5398,400022
5404,400021
5410,400019
413961,400018
5390,400016
5406,400015
5395,400014
427434,400013
5393,400005
5391,400004
432303,400003
5405,400001
1592,394043
3108,394038
3106,394034
3113,394033
3116,394023
3114,394008
3115,394007
252453,393307
6123,393303
6160,393302
190813,390314
373878,390304
252452,390290
6223,390270
6023,390268
2397,390267
4409,390265
6017,390263
6087,390258
6075,390256
3695,390246
6193,390237
3844,390233
6013,390231
6143,390226
6059,390225
6145,390223
6103,390222
6219,390220
6090,390219
6108,390217
6199,390211
6139,390204
4565,390203
6054,390201
6018,390197
439412,390195
3823,390194
6104,390192
4408,390183
6039,390180
6217,390179
6132,390174
6169,390164
6053,390162
6033,390160
455166,390157
6049,390156
439413,390153
6038,390151
474004,390150
6106,390147
6067,390145
6118,390142
6030,390139
6214,390138
6222,390137
4880,390133
6157,390127
6178,390123
6194,390119
6063,390117
267485,390116
6125,390115
6163,390114
6129,390111
6081,390110
6168,390107
6172,390102
6086,390100
6088,390096
5117,390091
6175,390090
6051,390086
6050,390081
6131,390080
6189,390079
6043,390076
6019,390073
2477,390072
2409,390071
6027,390070
355368,390068
6091,390066
6066,390065
6060,390063
6188,390062
312097,390061
6037,390058
6196,390057
6076,390056
6158,390050
6024,390049
6096,390048
6228,390046
6226,390045
6220,390044
6216,390043
6213,390042
6208,390041
6197,390037
6022,390036
6182,390035
6204,390032
6179,390031
6180,390030
6166,390028
6152,390027
6115,390019
6110,390016
6089,390012
6061,390009
6048,390006
6032,390004
6098,390002
6191,390001
3104,384008
464345,380102
4858,380091
9667,380090
9722,380089
9688,380082
9687,380075
9685,380071
9721,380070
9704,380061
9703,380060
9719,380056
9692,380052
9715,380051
9666,380047
9709,380040
9693,380038
9689,380037
9681,380035
464346,380033
399183,380029
9712,380027
9676,380025
9678,380021
9718,380020
5060,380013
9707,380009
81336,380007
9705,380004
9720,380001
1719,374020
1538,374016
3416,374000
493546,370229
399060,370218
374288,370216
382470,370211
243786,370202
5064,370190
8832,370173
8909,370114
8849,370113
8880,370106
8859,370097
8876,370094
201590,370093
8908,370091
8857,370056
8823,370047
8860,370043
8879,370037
8825,370030
8834,370029
8872,370028
8845,370026
8865,370025
8839,370023
8818,370022
8817,370020
8842,370019
8844,370016
8892,370015
8840,370014
8877,370013
8868,370008
8890,370006
8863,370004
8915,370002
8907,370001
1801,364038
271602,364036
3093,364029
473524,364027
208270,364023
3095,364011
7033,363306
7021,363305
2416,363304
6963,363303
6986,363300
475684,360354
481633,360352
440538,360348
435173,360274
390358,360266
7107,360262
342054,360259
312671,360257
6969,360236
6994,360234
7019,360230
7082,360218
7085,360213
2180,360212
134080,360211
7039,360210
6980,360203
7115,360195
6983,360192
7064,360189
7096,360185
7001,360180
6985,360179
7124,360175
7112,360174
76676,360172
6998,360170
6987,360163
7116,360161
7046,360156
6975,360155
6970,360154
6973,360153
